Токен,Тег_1,Тег_2
ты,PRON,
заспавнилась,VERB,
в,ADP,
22,NUM,
раз,NOUN,
сегодня,ADV,
я,PRON,
коупила,VERB,
по,ADP,
поводу,NOUN,
того,PRON,
что,CONJ,
предмет,NOUN,
"""",,
чешский,ADJ,
"""",,
существует,VERB,
То,PRON,
",",,
что,CONJ,
возникает,VERB,
от,ADP,
воздействия,NOUN,
на,ADP,
мозг,NOUN,
–,,
это,PART,
галюники,NOUN,
",",,
а,CONJ,
то,PRON,
",",,
что,CONJ,
происходит,VERB,
в,ADP,
результате,NOUN,
переживания,NOUN,
души,NOUN,
это,PART,
виденья,NOUN,
или,CONJ,
видения,NOUN,
Вам,PRON,
когда-нибудь,ADV,
хотелось,ADV,
типа,INTJ,
сесть,VERB,
на,ADP,
бэбича,NOUN,
Скоро,ADV,
у,ADP,
нас,PRON,
с,ADP,
Подобряичем,NOUN,
забой,NOUN,
с,ADP,
неким,DET,
"""",,
Судо,NOUN,
"""",,
.,,
сочиняю,VERB,
панчи,NOUN,
покашт,ADV,
.,,
возможный,ADJ,
ремув,NOUN,
тех,PRON,
перед,ADP,
кем,PRON,CONJ
не,PART,
хочется,VERB,
позориться,VERB,
Парк,NOUN,
Горького,NOUN,
ожил,VERB,
:,,
катаемся,VERB,
на,ADP,
самике,NOUN,
",",,
открыли,VERB,
сезон,NOUN,
самого,ADJ,
крутого,ADJ,
пломбира,NOUN,
на,ADP,
палочке,NOUN,
Рисую,VERB,
пишу,VERB,
фички,NOUN,
инфодамплю,VERB,
Окончила,VERB,
химический,ADJ,
факультет,NOUN,
мгу,NOUN,
",",,
занимала,VERB,
различные,ADJ,
должности,NOUN,
в,ADP,
оборонной,ADJ,
промышленности,NOUN,
.,,
План,NOUN,
работы,NOUN,
ВМО,NOUN,
по,ADP,
управлению,NOUN,
образованием,NOUN,
в,ADP,
2001,ADJ,
-,,
2002,ADJ,
учебном,ADJ,
году,NOUN,
—,,
Хорошим,ADJ,
подспорьем,NOUN,
в,ADP,
нашей,DET,
работе,NOUN,
",",,
которую,PRON,CONJ
возглавляет,VERB,
профессор,NOUN,
Литманович,NOUN,
",",,
служат,VERB,
гранты,NOUN,
РФФИ,NOUN,
и,CONJ,
РАН,NOUN,
А,CONJ,
лишь,PART,
стригя,VERB,
волосы,NOUN,
и,CONJ,
пекя,VERB,
эпиграммы,NOUN,
.,,
Даже,PART,
едя,VERB,
и,CONJ,
пья,VERB,
",",,
не,PART,
преследуют,VERB,
вкуса,NOUN,
—,,
лишь,PART,
бы,PART,
нажраться,VERB,
.,,
Другими,ADJ,
словами,NOUN,
",",,
надо,ADV,
пометить,VERB,
то,PRON,
",",,
что,CONJ,
нельзя,ADV,
смотреть,VERB,
",",,
а,CONJ,
остальное,ADJ,
значит,ADV,VERB
льзя,ADV,
.,,
Ну,PART,
ниче,PRON,
",",,
в,ADP,
следующем,ADJ,
победю,VERB,
!,,
,NOUN,
,ADJ,
,,
,INTJ,
,INTJ,
,,
,INTJ,
,PRON,
,ADV,
,ADP,
,DET,
,ADJ,
,ADJ,
,NOUN,
